PERMNO,date,COMNAM,RET,vwretd
77453,07/29/2011,JACK IN THE BOX INC,-0.002634,-0.022524
77453,08/31/2011,JACK IN THE BOX INC,-0.085827,-0.057498
77453,09/30/2011,JACK IN THE BOX INC,-0.040924,-0.084862
77453,10/31/2011,JACK IN THE BOX INC,0.033133,0.114030
77453,11/30/2011,JACK IN THE BOX INC,-0.003887,-0.006207
77453,12/30/2011,JACK IN THE BOX INC,0.019512,0.003696
77453,01/31/2012,JACK IN THE BOX INC,0.014354,0.054095
77453,02/29/2012,JACK IN THE BOX INC,0.125000,0.041239
77453,03/30/2012,JACK IN THE BOX INC,0.005031,0.024004
77453,04/30/2012,JACK IN THE BOX INC,-0.052149,-0.006806
77453,05/31/2012,JACK IN THE BOX INC,0.137764,-0.065574
77453,06/29/2012,JACK IN THE BOX INC,0.078530,0.038189
77453,07/31/2012,JACK IN THE BOX INC,-0.031923,0.010284
77453,08/31/2012,JACK IN THE BOX INC,-0.033346,0.026278
77453,09/28/2012,JACK IN THE BOX INC,0.077424,0.026554
77453,10/31/2012,JACK IN THE BOX INC,-0.074707,-0.014104
77453,11/30/2012,JACK IN THE BOX INC,0.059208,0.006192
77453,12/31/2012,JACK IN THE BOX INC,0.038113,0.012529
77453,01/31/2013,JACK IN THE BOX INC,0.015035,0.054145
77453,02/28/2013,JACK IN THE BOX INC,0.090596,0.008340
77453,03/28/2013,JACK IN THE BOX INC,0.092546,0.035294
77453,04/30/2013,JACK IN THE BOX INC,0.036427,0.014947
77453,05/31/2013,JACK IN THE BOX INC,0.017852,0.019074
77453,06/28/2013,JACK IN THE BOX INC,0.076733,-0.015036
77453,07/31/2013,JACK IN THE BOX INC,0.020361,0.052717
77453,08/30/2013,JACK IN THE BOX INC,-0.014966,-0.025727
77453,09/30/2013,JACK IN THE BOX INC,0.012661,0.037470
77453,10/31/2013,JACK IN THE BOX INC,0.017254,0.039895
77453,11/29/2013,JACK IN THE BOX INC,0.163963,0.024966
77453,12/31/2013,JACK IN THE BOX INC,0.056389,0.026140
77453,01/31/2014,JACK IN THE BOX INC,0.010996,-0.029987
77453,02/28/2014,JACK IN THE BOX INC,0.136049,0.046186
77453,03/31/2014,JACK IN THE BOX INC,0.025936,0.004501
77453,04/30/2014,JACK IN THE BOX INC,-0.091619,0.001670
77453,05/30/2014,JACK IN THE BOX INC,0.081995,0.020223
77453,06/30/2014,JACK IN THE BOX INC,0.036549,0.027961
77453,07/31/2014,JACK IN THE BOX INC,-0.044285,-0.020536
77453,08/29/2014,JACK IN THE BOX INC,0.043015,0.040206
77453,09/30/2014,JACK IN THE BOX INC,0.147014,-0.025132
77453,10/31/2014,JACK IN THE BOX INC,0.041795,0.021198
77453,11/28/2014,JACK IN THE BOX INC,0.051520,0.021159
77453,12/31/2014,JACK IN THE BOX INC,0.073289,-0.003623
